Purpose,Structure,SourceCodeSize,MainCppSize,OptimizationLevel,BinarySize,Linkage,UniqueGadgets,ROPgadgetTime
string,dense,large,323,O1,16064,dynamic,76,.049
string,dense,large,323,O1,900280,static,40856,.743
string,dense,large,323,O2,16064,dynamic,69,.050
string,dense,large,323,O2,900280,static,40769,.770
string,dense,large,323,O3,16064,dynamic,71,.051
string,dense,large,323,O3,900280,static,40776,.749
string,dense,medium,314,O0,16056,dynamic,67,.050
string,dense,medium,314,O0,900312,static,40710,.744
string,dense,medium,314,O1,16064,dynamic,76,.050
string,dense,medium,314,O1,900280,static,40824,.746
string,dense,medium,314,O2,16064,dynamic,67,.050
string,dense,medium,314,O2,900280,static,40770,.750
string,dense,medium,314,O3,16064,dynamic,71,.051
string,dense,medium,314,O3,900280,static,40839,.743
string,dense,small,235,O0,16056,dynamic,66,.049
string,dense,small,235,O0,900312,static,40740,.754
string,dense,small,235,O1,16064,dynamic,75,.050
string,dense,small,235,O1,900280,static,40822,.749
string,dense,small,235,O2,16064,dynamic,70,.050
string,dense,small,235,O2,900280,static,40822,.748
string,dense,small,235,O3,16024,dynamic,57,.049
string,dense,small,235,O3,900280,static,40844,.745
string,sparse,large,323,O0,16056,dynamic,71,.050
string,sparse,large,323,O0,900312,static,40781,.759
string,sparse,large,323,O1,16064,dynamic,76,.050
string,sparse,large,323,O1,900280,static,40856,.749
string,sparse,large,323,O2,16064,dynamic,69,.051
string,sparse,large,323,O2,900280,static,40769,.749
string,sparse,large,323,O3,16064,dynamic,71,.051
string,sparse,large,323,O3,900280,static,40776,.752
string,sparse,medium,379,O0,16104,dynamic,75,.050
string,sparse,medium,379,O0,900360,static,40751,.748
string,sparse,medium,379,O1,16112,dynamic,74,.049
string,sparse,medium,379,O1,900328,static,40807,.744
string,sparse,medium,379,O2,16112,dynamic,78,.051
string,sparse,medium,379,O2,900328,static,40813,.749
string,sparse,medium,379,O3,16112,dynamic,84,.050
string,sparse,medium,379,O3,900328,static,40884,.770
string,sparse,small,288,O0,16096,dynamic,71,.051
string,sparse,small,288,O0,900352,static,40878,.742
string,sparse,small,288,O1,16104,dynamic,77,.050
string,sparse,small,288,O1,900328,static,40825,.748
string,sparse,small,288,O2,16104,dynamic,74,.050
string,sparse,small,288,O2,900328,static,40824,.746
string,sparse,small,288,O3,16064,dynamic,61,.050
string,sparse,small,288,O3,900328,static,40824,.749
